Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:18fV2NKEnxDAlXSo4Csv6A,d9df39ebaa4148dcad17d8311666f155,2026-05-11T20:13:08Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:09S8zwcvSml6jcQKVJ5Owz,d9df39ebaa4148dcad17d8311666f155,2026-05-11T20:13:08Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1gIci1Gg8qoUW2y3jHBGt3,d9df39ebaa4148dcad17d8311666f155,2026-05-11T20:13:08Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:2kRFrWaLWiKq48YYVdGcm8,d9df39ebaa4148dcad17d8311666f155,2026-05-11T20:13:08Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:57bgtoPSgt236HzfBOd8kj,d9df39ebaa4148dcad17d8311666f155,2026-05-11T20:13:08Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:7wCmS9TTVUcIhRalDYFgPy,d9df39ebaa4148dcad17d8311666f155,2026-05-11T20:13:08Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:18fV2NKEnxDAlXSo4Csv6A,4ad89e5b9e954a30b70342f39fb86a85,2026-05-12T14:02:13Z,2,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1gIci1Gg8qoUW2y3jHBGt3,4ad89e5b9e954a30b70342f39fb86a85,2026-05-12T14:02:13Z,2,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1J2mrnPqc43BzJEFhq3Tk2,4ad89e5b9e954a30b70342f39fb86a85,2026-05-12T14:02:13Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1musbempyJAw5gfSKZHXP9,4ad89e5b9e954a30b70342f39fb86a85,2026-05-12T14:02:13Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1gIci1Gg8qoUW2y3jHBGt3,4bef5cf5b9314383b6c61a18935d5f4d,2026-05-14T16:58:50Z,2,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1J2mrnPqc43BzJEFhq3Tk2,4bef5cf5b9314383b6c61a18935d5f4d,2026-05-14T16:58:50Z,3,Felt,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:7gDVjl5fEw2OPAtjbW4LzR,4bef5cf5b9314383b6c61a18935d5f4d,2026-05-14T16:58:50Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:01KbmYplISaN9umMewD4W8,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,1,"Loved this tracked, immediately added to the liked list",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:09S8zwcvSml6jcQKVJ5Owz,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,1,"Yeah sick track I’ve never heard, take a point",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:0JvDcQ2LAzuhV1HujQrAHR,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,1,"Love me some wu-tang and this wasn’t on my liked list, so added and take a point",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:18fV2NKEnxDAlXSo4Csv6A,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,1,"Yeah nice a heavy, enjoyed this, take a point",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1gIci1Gg8qoUW2y3jHBGt3,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,1,"Not a song in familiar with and I enjoyed it, take a point",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1musbempyJAw5gfSKZHXP9,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,0,"Love this tune, unfortunately that worked against you when it comes to my points",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:2kRFrWaLWiKq48YYVdGcm8,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,0,Yeah great tune but very familiar with it already so no points to give,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:2lwwrWVKdf3LR9lbbhnr6R,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,0,Fucking love modest mouse and this track rocks so hard… but my points went to songs I didn’t know sorry!,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:57bgtoPSgt236HzfBOd8kj,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,0,"Yeah almost gave this a point simply for the theme, but so many good new tracks so nothing to give",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:5NRtdsFFlmyE8qDMgS08PE,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,1,"Fuck yeah paramore, didn’t have this song on the liked list so take a point",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,0,"Sorry, love this track but so overplayed ",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:7gDVjl5fEw2OPAtjbW4LzR,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,0,Fuck I feel bad not giving points to a perfect circle.. but they one of my favorite bands so I’m already familiar with all their tracks unfortunately ,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:7wCmS9TTVUcIhRalDYFgPy,8fc1dc71014e405da1c76d2fc096a6d6,2026-05-14T20:03:44Z,0,"Yeah great song, funny for the theme, but been a constant favorite for years so nothing new get no points unfortunately ",580e194f77f74c6baafa521c4bd9fa2a
spotify:track:01KbmYplISaN9umMewD4W8,2e30f2794fbd48b09ff2e9d38ecc851d,2026-05-14T21:08:11Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:0JvDcQ2LAzuhV1HujQrAHR,2e30f2794fbd48b09ff2e9d38ecc851d,2026-05-14T21:08:11Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1J2mrnPqc43BzJEFhq3Tk2,2e30f2794fbd48b09ff2e9d38ecc851d,2026-05-14T21:08:11Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:2lwwrWVKdf3LR9lbbhnr6R,2e30f2794fbd48b09ff2e9d38ecc851d,2026-05-14T21:08:11Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:57bgtoPSgt236HzfBOd8kj,2e30f2794fbd48b09ff2e9d38ecc851d,2026-05-14T21:08:11Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:7gDVjl5fEw2OPAtjbW4LzR,2e30f2794fbd48b09ff2e9d38ecc851d,2026-05-14T21:08:11Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:09S8zwcvSml6jcQKVJ5Owz,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,0,Kinda too strange,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:01KbmYplISaN9umMewD4W8,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,0,This song the vocals were a little annoying ,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:0JvDcQ2LAzuhV1HujQrAHR,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,0,The woman yelling ruined it,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:18fV2NKEnxDAlXSo4Csv6A,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,1,Like the beginning not so much the later,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1J2mrnPqc43BzJEFhq3Tk2,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,1,Ok but gets a bit boring,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1musbempyJAw5gfSKZHXP9,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,0,Overplayed,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:2kRFrWaLWiKq48YYVdGcm8,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,0,Yikes not my cup of tea at all,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:2lwwrWVKdf3LR9lbbhnr6R,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,1,Its a good song well known but don't picture it being someone's life more surrealism ,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:57bgtoPSgt236HzfBOd8kj,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,0,I like ac dc but this one is overplayed and corny,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:5NRtdsFFlmyE8qDMgS08PE,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,0,Meh,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,1,Good song obviously well known deserves atleast 1 point,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:7gDVjl5fEw2OPAtjbW4LzR,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,1,I like perfect xircle they just really suck live never see them live ,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:7wCmS9TTVUcIhRalDYFgPy,44c2f542f7c645febc86317b55d78c22,2026-05-14T22:47:59Z,1,Well known decent song deserves a point.,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:7gDVjl5fEw2OPAtjbW4LzR,e9ab942d00e14f5ba05b39991eb26919,2026-05-15T13:40:36Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1musbempyJAw5gfSKZHXP9,e9ab942d00e14f5ba05b39991eb26919,2026-05-15T13:40:36Z,1,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:0JvDcQ2LAzuhV1HujQrAHR,e9ab942d00e14f5ba05b39991eb26919,2026-05-15T13:40:36Z,2,,580e194f77f74c6baafa521c4bd9fa2a
spotify:track:1J2mrnPqc43BzJEFhq3Tk2,e9ab942d00e14f5ba05b39991eb26919,2026-05-15T13:40:36Z,2,,580e194f77f74c6baafa521c4bd9fa2a
